index,product,price,description
0,Футболка Brave Soul,799,Стильная футболка из 100%-ного хлопка.
1,Толстовка Gap,1499,Практичная и удобная толстовка из полиэстра и хлопка.
2,Рубашка O'stin,2799,Строгая фотболка из эластана и полиэстра. 
3,Бейсболка Tommy Jeans,2990,Стильная бейсболка из 100%-ного хлопка.
4,Очки Dolce&Gabbana,15800,Солнцзащитные стильные очки из ацетата.
5,Носки Burton,1070,Удобные хлопковые носки.
6,Рюкзак Rivacase,1990,Рюкзак из плотного синтетического материала. Имеет утолщенные стенки для защиты ноутбука.
7,Полувер Hugo Boss,10500,Полувер из плотного хлопкового трикотажа лицевой вязки.
8,Тапочки De Fonseca,1790,"Смешные тапки, приклекающего внимания каждого!"
9,Бейсболка Lyle & Scott,1970,Стильная бейсболка из 100%-ного хлопка.
10,Козырек Li-Ning,999,Козырек от спортивного бренда из быстросохнущего материала.
11,Сумка Gap,999,Холщовая сумка из натурального хлопка.
12,Сумка поясная Tommy Sport,6490,Поясная сумка из плотного непромокаемого текстиля.
13,Часы Casio,3890,Часы с кварцевым механизмом из нержавеющей стали.
14,Часы настенные Русские подарки,1500,"Часы настенные, работают от батареек типа АА."
15,Постельное белье 2-спальное Pure Cotton,2700,"Долговечный и износостойкий материал, не требующий особого ухода."
16,Мяч баскетбольный Molten,7191,Баскетбольный мяч из высококачественной композитной кожи.
17,Плед El Casa,3132,Плед из 100%-ного полиэтра.
18,Набор полотенец Sofi De Marko,800,Полотенца прекрасно впитывают влагу и придают ощущение нежности.
19,Светильник настольный El Casa,2847,Рекомендуемая максимальная мощность лампочки - 40W.
20,Подушка декоративная Naturel,379,Замечательная подушка из хлопка и полиэстра.
21,Набор контейнеров для хранения продуктов Podium,5200,"Незаменимый на кухне набор из 5 емкостей, позволяющий экономить место."
