index,product,price,description
0,Футболка Brave Soul,799,Стильная футболка из 100%-ного хлопка.
1,Толстовка Gap,1499,Практичная и удобная толстовка из полиэстра и хлопка.
2,Рубашка O'stin,2799,Строгая фотболка из эластана и полиэстра. 
3,Кеды 44 р-р,4390,Удобные кеды из текстиля.
4,Пиджак мужской,35990,"Стильный пиджак из хлопка, полиэстра и полиамида."
5,Носки Burton,1070,Удобные хлопковые носки.
6,Очки Dolce&Gabbana,15800,Солнцзащитные стильные очки из ацетата.
7,Тапочки De Fonseca,1790,"Смешные тапки, приклекающего внимания каждого!"
8,Бейсболка Lyle & Scott,1970,Стильная бейсболка из 100%-ного хлопка.
9,Мяч баскетбольный Molten,7191,Баскетбольный мяч из высококачественной композитной кожи.
10,Гель для душа мужской SeaCare,2890,"Гель, обогащенный минералами Мертвого моря. Хорошо восстанавливает кожу, сохраняет водный баланс."
11,Пиджак мужской Hugo Boss,16000,Кардиган из плотного хлопкового трикотажа.
12,Джемпер мужской Hugo Boss,14000,Вязаный джемпер из плотного хлопкового трикотажа.
13,Полувер Hugo Boss,10500,Полувер из плотного хлопкового трикотажа лицевой вязки.
14,Кардиган мужской ,12800,Кардиган из плотного хлопкового трикотажа.
15,Часы Casio,3890,Часы с кварцевым механизмом из нержавеющей стали.
16,Сумка поясная Tommy Sport,6490,Поясная сумка из плотного непромокаемого текстиля.
17,Браслет Спартак,490,Браслет из искусственной кожи.
18,Комплект Stefano Danotelli,2490,Галстук и платок ручной работы из итальянской ткани.
19,Комплект Rainbowtie,2300,"Состав 1 - хлопок 100%, 2 - искусственная кожа."
20,Зажим для галстука Mango Man,1699,Зажим из латуни.
21,Запонки Mango Man,1999,Запонки из латуни.
